
2024/12/30 (21:13:31) | ===> btop++ v.1.4.0
2025/02/21 (16:03:20) | ===> btop++ v.1.4.0
2025/02/21 (16:03:20) | ERROR: Stall in Runner thread, restarting!
2025/02/21 (16:52:22) | ERROR: Stall in Runner thread, restarting!
2025/02/21 (17:11:17) | ERROR: Stall in Runner thread, restarting!

2025/02/21 (19:49:18) | ===> btop++ v.1.4.0
2025/02/21 (19:49:18) | ERROR: Stall in Runner thread, restarting!
2025/02/21 (20:21:49) | ERROR: Stall in Runner thread, restarting!
2025/02/21 (20:27:05) | ERROR: Stall in Runner thread, restarting!
2025/02/21 (20:27:17) | ERROR: Stall in Runner thread, restarting!
2025/02/21 (20:27:23) | ERROR: Stall in Runner thread, restarting!

2025/02/23 (09:44:01) | ===> btop++ v.1.4.0
2025/02/23 (09:44:01) | ERROR: Stall in Runner thread, restarting!

2025/02/23 (21:52:37) | ===> btop++ v.1.4.0
2025/02/23 (21:52:37) | ERROR: Stall in Runner thread, restarting!
2025/02/23 (22:41:56) | ERROR: Stall in Runner thread, restarting!
2025/02/23 (22:58:32) | ERROR: Stall in Runner thread, restarting!
2025/02/24 (00:15:22) | ERROR: Stall in Runner thread, restarting!

2025/02/25 (16:26:37) | ===> btop++ v.1.4.0
2025/02/25 (16:26:37) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:38:34) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:38:48) | ERROR: No response from Runner thread, quitting!

2025/02/25 (16:40:22) | ===> btop++ v.1.4.0
2025/02/25 (16:40:22) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:40:36) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:40:52) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:40:58) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:41:04) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:41:10) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:42:09) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:45:44) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:46:06) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:46:44) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:47:06) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:48:12) | ERROR: Stall in Runner thread, restarting!

2025/02/25 (16:53:10) | ===> btop++ v.1.4.0
2025/02/25 (16:53:10) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:53:16) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:53:22) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:53:28) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:55:42) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:55:50) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (16:55:56) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (17:00:40) | ERROR: Stall in Runner thread, restarting!

2025/02/25 (23:19:05) | ===> btop++ v.1.4.0
2025/02/25 (23:19:05) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (23:21:57) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (23:23:01) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (23:23:09) | ERROR: Stall in Runner thread, restarting!
2025/02/25 (23:23:15) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (02:39:35) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (03:28:34) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (03:46:12) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (03:57:21) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (03:57:29) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (03:57:35) | ERROR: Stall in Runner thread, restarting!

2025/02/26 (15:14:27) | ===> btop++ v.1.4.0
2025/02/26 (15:14:27) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (15:14:51) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (15:14:57) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (15:15:03) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (15:15:09) | ERROR: Stall in Runner thread, restarting!
2025/02/26 (15:15:15) | ERROR: Stall in Runner thread, restarting!

2025/02/27 (01:09:22) | ===> btop++ v.1.4.0
2025/02/27 (01:09:22) | ERROR: Stall in Runner thread, restarting!
2025/02/27 (01:27:02) | ERROR: Stall in Runner thread, restarting!
2025/02/27 (01:58:18) | ERROR: Stall in Runner thread, restarting!
2025/02/27 (02:35:57) | ERROR: Stall in Runner thread, restarting!
2025/02/27 (04:26:35) | ERROR: Stall in Runner thread, restarting!
2025/02/27 (09:00:15) | ERROR: Stall in Runner thread, restarting!

2025/02/27 (13:11:07) | ===> btop++ v.1.4.0
2025/02/27 (13:11:07) | ERROR: Stall in Runner thread, restarting!
2025/02/27 (13:11:13) | ERROR: Stall in Runner thread, restarting!
2025/02/27 (13:11:19) | ERROR: Stall in Runner thread, restarting!
2025/02/27 (13:11:25) | ERROR: Stall in Runner thread, restarting!

2025/02/27 (23:36:55) | ===> btop++ v.1.4.0
2025/02/27 (23:36:55) | ERROR: Stall in Runner thread, restarting!
2025/02/27 (23:37:49) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (02:38:55) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (03:39:55) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (04:40:55) | ERROR: Stall in Runner thread, restarting!

2025/03/07 (22:34:23) | ===> btop++ v.1.4.0
2025/03/07 (22:34:23) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:34:29) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:34:35) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:34:41) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:34:47) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:34:53) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:34:59) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:35:05) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:35:11) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:35:17) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:35:27) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:36:10) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:36:29) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:36:41) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:36:51) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (22:36:57) | ERROR: Stall in Runner thread, restarting!

2025/03/08 (07:56:59) | ===> btop++ v.1.4.0
2025/03/08 (07:56:59) | ERROR: Stall in Runner thread, restarting!
2025/03/08 (07:57:07) | ERROR: Stall in Runner thread, restarting!
2025/03/08 (07:57:17) | ERROR: Stall in Runner thread, restarting!
2025/03/08 (08:17:04) | ERROR: Stall in Runner thread, restarting!

2025/03/09 (07:48:54) | ===> btop++ v.1.4.0
2025/03/09 (07:48:54) | ERROR: Stall in Runner thread, restarting!
2025/03/09 (08:59:45) | ERROR: Stall in Runner thread, restarting!

2025/03/13 (23:49:51) | ===> btop++ v.1.4.0
2025/03/13 (23:49:51) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:49:57) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:50:03) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:50:09) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:50:15) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:50:21) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:50:27) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:50:33) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:50:39) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:52:56) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:53:02) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:53:08) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:53:14) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:53:20) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:53:26) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:53:32) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (23:54:13) | ERROR: Stall in Runner thread, restarting!
2025/03/14 (01:25:54) | ERROR: Stall in Runner thread, restarting!

2025/03/14 (22:39:56) | ===> btop++ v.1.4.0
2025/03/14 (22:39:56) | ERROR: Stall in Runner thread, restarting!
2025/03/15 (01:18:38) | ERROR: Stall in Runner thread, restarting!
2025/03/15 (01:18:52) | ERROR: Stall in Runner thread, restarting!
2025/03/15 (01:18:58) | ERROR: Stall in Runner thread, restarting!
2025/03/15 (01:19:04) | ERROR: Stall in Runner thread, restarting!
2025/03/15 (01:34:24) | ERROR: Stall in Runner thread, restarting!

2025/03/15 (14:45:55) | ===> btop++ v.1.4.0
2025/03/15 (14:45:55) | ERROR: Stall in Runner thread, restarting!

2025/03/22 (01:53:01) | ===> btop++ v.1.4.0
2025/03/22 (01:53:01) | ERROR: Stall in Runner thread, restarting!
2025/03/22 (02:42:16) | ERROR: Stall in Runner thread, restarting!
2025/03/22 (05:44:39) | ERROR: Stall in Runner thread, restarting!

2025/03/22 (13:29:55) | ===> btop++ v.1.4.0
2025/03/22 (13:29:55) | ERROR: Stall in Runner thread, restarting!
2025/03/22 (13:30:07) | ERROR: Stall in Runner thread, restarting!
2025/03/22 (13:54:07) | ERROR: Stall in Runner thread, restarting!
2025/03/22 (13:54:13) | ERROR: Stall in Runner thread, restarting!
2025/03/22 (13:54:19) | ERROR: Stall in Runner thread, restarting!
2025/03/22 (13:54:25) | ERROR: Stall in Runner thread, restarting!

2025/03/22 (19:06:05) | ===> btop++ v.1.4.0
2025/03/22 (19:06:05) | ERROR: Stall in Runner thread, restarting!
2025/03/22 (22:10:54) | ERROR: Stall in Runner thread, restarting!
2025/03/23 (01:53:17) | ERROR: Stall in Runner thread, restarting!
2025/03/23 (03:37:14) | ERROR: Stall in Runner thread, restarting!

2025/03/24 (08:10:07) | ===> btop++ v.1.4.0
2025/03/24 (08:10:07) | ERROR: Stall in Runner thread, restarting!

2025/03/24 (09:42:20) | ===> btop++ v.1.4.0
2025/03/24 (09:42:20) | ERROR: Stall in Runner thread, restarting!
2025/03/24 (09:43:36) | ERROR: Stall in Runner thread, restarting!
2025/03/24 (09:46:49) | ERROR: Stall in Runner thread, restarting!
2025/03/24 (10:05:23) | ERROR: Stall in Runner thread, restarting!

2025/03/25 (00:54:05) | ===> btop++ v.1.4.0
2025/03/25 (00:54:05) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (00:54:39) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (01:43:24) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (02:16:37) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (02:34:48) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (03:07:11) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (03:35:48) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (03:36:26) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (03:36:32) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (03:36:38) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (03:53:32) | ERROR: Stall in Runner thread, restarting!

2025/03/25 (13:07:39) | ===> btop++ v.1.4.0
2025/03/25 (13:07:39) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (13:07:53) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (13:08:05) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (13:08:15) | ERROR: Stall in Runner thread, restarting!

2025/03/25 (16:22:05) | ===> btop++ v.1.4.0
2025/03/25 (16:22:05) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (16:22:11) | ERROR: Stall in Runner thread, restarting!
2025/03/25 (16:43:33) | ERROR: Stall in Runner thread, restarting!

2025/04/06 (04:45:26) | ===> btop++ v.1.4.0
2025/04/06 (04:45:26) | ERROR: Stall in Runner thread, restarting!

2025/04/06 (13:22:30) | ===> btop++ v.1.4.0
2025/04/06 (13:22:30) | ERROR: Stall in Runner thread, restarting!

2025/04/18 (01:26:58) | ===> btop++ v.1.4.0
2025/04/18 (01:26:58) | ERROR: Stall in Runner thread, restarting!
2025/04/18 (01:27:24) | ERROR: Stall in Runner thread, restarting!
2025/04/18 (01:27:30) | ERROR: Stall in Runner thread, restarting!
2025/04/18 (01:27:36) | ERROR: Stall in Runner thread, restarting!

2025/04/18 (20:47:32) | ===> btop++ v.1.4.0
2025/04/18 (20:47:32) | ERROR: Stall in Runner thread, restarting!

2025/04/19 (05:49:23) | ===> btop++ v.1.4.0
2025/04/19 (05:49:23) | ERROR: Stall in Runner thread, restarting!
2025/04/19 (08:52:13) | ERROR: Stall in Runner thread, restarting!

2025/04/19 (12:05:45) | ===> btop++ v.1.4.0
2025/04/19 (12:05:45) | ERROR: Stall in Runner thread, restarting!
2025/04/19 (12:05:59) | ERROR: Stall in Runner thread, restarting!
2025/04/19 (17:07:43) | ERROR: Stall in Runner thread, restarting!
2025/04/19 (17:07:49) | ERROR: Stall in Runner thread, restarting!
2025/04/19 (17:07:55) | ERROR: Stall in Runner thread, restarting!
2025/04/19 (17:08:01) | ERROR: Stall in Runner thread, restarting!

2025/04/20 (22:01:27) | ===> btop++ v.1.4.0
2025/04/20 (22:01:27) | ERROR: Stall in Runner thread, restarting!
2025/04/20 (22:34:36) | ERROR: Stall in Runner thread, restarting!
2025/04/20 (23:01:20) | ERROR: Stall in Runner thread, restarting!
2025/04/20 (23:01:58) | ERROR: Stall in Runner thread, restarting!
2025/04/21 (02:48:59) | ERROR: Stall in Runner thread, restarting!
2025/04/21 (03:39:19) | ERROR: Stall in Runner thread, restarting!
2025/04/21 (04:43:15) | ERROR: Stall in Runner thread, restarting!
2025/04/21 (05:23:10) | ERROR: Stall in Runner thread, restarting!
2025/04/21 (05:44:15) | ERROR: Stall in Runner thread, restarting!
2025/04/21 (06:17:30) | ERROR: Stall in Runner thread, restarting!
2025/04/21 (07:03:12) | ERROR: Stall in Runner thread, restarting!
2025/04/21 (07:30:52) | ERROR: Stall in Runner thread, restarting!
2025/04/21 (08:21:26) | ERROR: Stall in Runner thread, restarting!

2025/04/23 (14:00:46) | ===> btop++ v.1.4.0
2025/04/23 (14:00:46) | ERROR: Stall in Runner thread, restarting!
2025/04/23 (14:00:52) | ERROR: Stall in Runner thread, restarting!
2025/04/23 (14:00:58) | ERROR: Stall in Runner thread, restarting!
2025/04/23 (14:01:04) | ERROR: Stall in Runner thread, restarting!
2025/04/23 (14:01:10) | ERROR: Stall in Runner thread, restarting!
2025/04/23 (14:01:16) | ERROR: Stall in Runner thread, restarting!
2025/04/23 (14:01:22) | ERROR: Stall in Runner thread, restarting!
2025/04/23 (14:01:28) | ERROR: Stall in Runner thread, restarting!
2025/04/23 (14:01:34) | ERROR: Stall in Runner thread, restarting!
2025/04/23 (14:01:40) | ERROR: Stall in Runner thread, restarting!
2025/04/23 (14:01:46) | ERROR: Stall in Runner thread, restarting!

2025/05/16 (12:08:43) | ===> btop++ v.1.4.0
2025/05/16 (12:08:43) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:16:50) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:18:44) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:18:50) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:18:56) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:19:02) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:19:08) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:19:14) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:19:20) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:19:26) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:32:44) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:32:50) | ERROR: Stall in Runner thread, restarting!
2025/05/16 (12:32:53) | WARNING: Failed to get disk/partition stats with statvfs() for: 
